,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,NeighborhoodConnectivity,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,Stress,TopologicalCoefficient,Role,Random
0,7.284476784476785,0.0031153804117408,0.1372782190933739,0.2142857142857142,24,14,False,3.0,24,8,0.9345367001617002,421940,0.25,1,1013
1,7.285516285516286,0.0010376994779074,0.1372586321696946,0.4,16,14,False,4.0,16,5,0.934525872025872,210960,0.3333333333333333,1,1006
2,6.289327789327789,0.0055305538841067,0.1589995041595504,0.4666666666666667,12,13,False,7.833333333333333,12,6,0.9449028355278356,773476,0.2901234567901234,2,1004
3,5.621275121275121,0.0078079417521931,0.1778955803488874,0.1818181818181818,30,13,False,8.75,30,12,0.9518617174867176,1181032,0.1286764705882352,1,8
4,5.477130977130977,0.0004788152640409541,0.1825773391535395,0.5238095238095238,16,13,False,22.285714285714285,16,7,0.953363218988219,121978,0.3277310924369748,2,1002
5,7.350311850311851,0.0,0.1360486494130957,1.0,10,14,False,10.6,10,5,0.933850918225918,0,0.4416666666666666,1045,9
6,6.616424116424116,0.0077530366507992,0.1511390416339356,0.2761904761904762,38,13,False,9.866666666666667,38,15,0.9414955821205822,938640,0.1409523809523809,1,1042
7,5.952529452529452,0.0022295220767355,0.16799580883637,0.2809523809523809,70,13,False,10.904761904761903,70,21,0.9484111515361516,696152,0.1473616473616473,1,1052
8,6.91995841995842,1.195927107068369e-05,0.1445095388313053,0.5714285714285714,18,14,False,8875.0,18,8,0.9383337664587664,528,0.3858695652173913,1,1042
9,5.748787248787249,0.035855797803299,0.1739497317822916,0.0919540229885057,82,14,False,6.9,82,30,0.950533466158466,6517662,0.0647798742138364,1,1065
10,6.492723492723493,0.0165182248966371,0.154018571886007,0.2421052631578947,48,14,False,8.7,48,20,0.9427841302841302,3692830,0.1611111111111111,1,1011
11,7.542619542619542,1.6459891598360655e-06,0.13257993384785,0.7857142857142857,20,15,False,17.0,20,8,0.9318477130977132,336,0.4047619047619047,1,1015
12,7.537075537075537,2.6707211886715747e-05,0.1326774549466715,0.3450292397660818,78,15,False,10.578947368421051,78,19,0.9319054631554632,4024,0.22508398656215,1,1045
13,7.534996534996535,0.0004656963658609976,0.1327140623562954,0.26,94,15,False,9.08,94,25,0.9319271194271194,233556,0.1931914893617021,1,1015
14,6.586278586278587,0.0190826005638922,0.151830808080808,0.178030303030303,120,14,False,8.666666666666666,120,33,0.941809598059598,3602620,0.1274509803921568,1,8
15,7.920651420651421,0.0,0.126252242005337,1.0,8,15,False,7.25,8,4,0.927909881034881,0,0.90625,1,1042
16,5.652113652113652,0.0041745093429669,0.1769249632172633,0.2424242424242424,54,14,False,11.166666666666666,54,12,0.9515404827904828,583118,0.1191756272401433,2,1041
17,6.651767151767152,0.0,0.1503359899984372,0.0,2,15,False,12.0,2,1,0.9411274255024256,0,0.0,1,1
18,7.983714483714484,1.2010410623928825e-07,0.1252549802525932,0.0,4,15,False,5.5,4,2,0.927252974127974,2,0.5625,1,1015
19,4.600831600831601,0.051306270787186,0.2173520108450067,0.1297134238310709,244,12,False,11.48076923076923,244,52,0.9624913374913376,11863640,0.0517151767151767,1,1012
20,4.631670131670131,0.0415100432403596,0.2159048402782973,0.1420068027210884,248,12,False,11.653061224489797,248,49,0.9621701027951028,9848196,0.0547092076267126,7,1056
21,5.118503118503119,0.0105394721970216,0.1953696181965881,0.2092307692307692,84,12,False,20.07692307692308,84,26,0.957098925848926,1615682,0.0869130869130869,7,1009
22,6.920997920997921,4.581113766555707e-06,0.1444878341844397,0.4,26,14,False,6.545454545454546,26,11,0.9383229383229384,102,0.3272727272727272,1,1060
23,5.925155925155925,0.0596119607906004,0.1687719298245614,0.2222222222222222,80,13,False,8.68421052631579,80,19,0.9486962924462924,7745482,0.1009791921664626,1,1011
24,9.27061677061677,3.0690393017919044e-05,0.107867688282564,0.4666666666666667,12,17,False,7.0,12,6,0.913847741972742,2528,0.35,1,1052
25,4.773735273735274,0.0136287100115179,0.2094795673949336,0.1916376306620209,226,11,False,17.5,226,42,0.9606902575652576,2934256,0.0744680851063829,1,1035
26,4.948024948024948,0.0046878999453892,0.2021008403361344,0.3032258064516129,102,12,False,25.06451612903226,102,31,0.95887474012474,937978,0.0908134642356241,2,1010
27,5.0498960498960495,0.0023288115028123,0.1980238781391519,0.3188405797101449,126,12,False,25.791666666666668,126,24,0.9578135828135828,502712,0.1031666666666666,2,1011
28,4.792792792792793,0.0628850236294337,0.2086466165413533,0.1396086726599682,288,11,False,17.919354838709676,288,62,0.9604917417417416,12459178,0.0556501703065518,1,1006
29,4.857934857934858,0.0244695022476314,0.205848787446505,0.1040688575899843,364,11,False,16.52777777777778,364,72,0.9598131785631786,5888664,0.0533154121863799,1,1060
30,5.358281358281358,0.0487331030486335,0.1866270046559751,0.1637426900584795,48,13,False,10.789473684210526,48,19,0.9546012358512358,11000492,0.1142217245240761,1,8
31,6.164934164934165,0.0019745924846709,0.1622077338129496,0.6666666666666666,12,14,False,13.0,12,6,0.9461986024486024,93408,0.2333333333333333,7,1065
32,5.304920304920305,0.0417462542476454,0.1885042455911169,0.0869905956112852,352,13,False,11.306818181818182,352,88,0.9551570801570802,7450088,0.0508804258804258,1,7
33,5.966735966735967,0.0013280567577761,0.167595818815331,0.246031746031746,100,13,False,15.214285714285714,100,28,0.948263167013167,176056,0.1161395856052344,1,1033
