AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,NeighborhoodConnectivity,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,Stress,TopologicalCoefficient,Role
7.284476784476785,0.003115380411740897,0.13727821909337393,0.21428571428571427,24,14,false,3.0,24,8,0.9345367001617002,421940,0.25,1
7.285516285516286,0.0010376994779074504,0.13725863216969467,0.4,16,14,false,4.0,16,5,0.9345258720258721,210960,0.3333333333333333,1
6.289327789327789,0.005530553884106744,0.15899950415955044,0.4666666666666667,12,13,false,7.833333333333333,12,6,0.9449028355278356,773476,0.29012345679012347,2
5.621275121275121,0.007807941752193103,0.1778955803488874,0.18181818181818182,30,13,false,8.75,30,12,0.9518617174867176,1181032,0.12867647058823528,1
5.477130977130977,4.788152640409541E-4,0.18257733915353958,0.5238095238095238,16,13,false,22.285714285714285,16,7,0.953363218988219,121978,0.3277310924369748,2
7.350311850311851,0.0,0.13604864941309575,1.0,10,14,false,10.6,10,5,0.9338509182259181,0,0.44166666666666665,1045
6.616424116424116,0.007753036650799201,0.1511390416339356,0.2761904761904762,38,13,false,9.866666666666667,38,15,0.9414955821205822,938640,0.14095238095238094,1
5.952529452529452,0.002229522076735504,0.16799580883637,0.28095238095238095,70,13,false,10.904761904761905,70,21,0.9484111515361516,696152,0.14736164736164736,1
6.91995841995842,1.195927107068369E-5,0.14450953883130538,0.5714285714285714,18,14,false,8875,18,8,0.9383337664587664,528,0.3858695652173913,1
5.748787248787249,0.035855797803299096,0.17394973178229162,0.09195402298850575,82,14,false,6.9,82,30,0.9505334661584661,6517662,0.06477987421383648,1
6.492723492723493,0.016518224896637165,0.15401857188600704,0.24210526315789474,48,14,false,8.7,48,20,0.9427841302841302,3692830,0.16111111111111112,1
7.542619542619542,1.6459891598360655E-6,0.13257993384785005,0.7857142857142857,20,15,false,17.0,20,8,0.9318477130977131,336,0.40476190476190477,1
7.537075537075537,2.6707211886715747E-5,0.13267745494667157,0.34502923976608185,78,15,false,10.578947368421053,78,19,0.9319054631554632,4024,0.22508398656215006,1
7.534996534996535,4.656963658609976E-4,0.1327140623562954,0.26,94,15,false,9.08,94,25,0.9319271194271194,233556,0.19319148936170213,1
6.586278586278587,0.01908260056389222,0.15183080808080807,0.17803030303030304,120,14,false,8.666666666666666,120,33,0.9418095980595981,3602620,0.12745098039215685,1
7.920651420651421,0.0,0.12625224200533708,1.0,8,15,false,7.25,8,4,0.927909881034881,0,0.90625,1
5.652113652113652,0.004174509342966988,0.17692496321726336,0.24242424242424243,54,14,false,11.166666666666666,54,12,0.9515404827904828,583118,0.11917562724014337,2
6.651767151767152,0.0,0.15033598999843725,0.0,2,15,false,12.0,2,1,0.9411274255024256,0,0.0,1
7.983714483714484,1.2010410623928823E-7,0.1252549802525932,0.0,4,15,false,5.5,4,2,0.9272529741279741,2,0.5625,1
4.600831600831601,0.05130627078718606,0.21735201084500677,0.1297134238310709,244,12,false,11.48076923076923,244,52,0.9624913374913375,11863640,0.05171517671517672,1
4.631670131670131,0.04151004324035962,0.21590484027829732,0.14200680272108843,248,12,false,11.653061224489797,248,49,0.9621701027951027,9848196,0.05470920762671266,7
5.118503118503119,0.010539472197021674,0.19536961819658813,0.20923076923076922,84,12,false,20.076923076923077,84,26,0.9570989258489259,1615682,0.08691308691308691,7
6.920997920997921,4.581113766555707E-6,0.14448783418443978,0.4,26,14,false,6.545454545454546,26,11,0.9383229383229383,102,0.32727272727272727,1
5.925155925155925,0.05961196079060041,0.1687719298245614,0.2222222222222222,80,13,false,8.68421052631579,80,19,0.9486962924462925,7745482,0.10097919216646267,1
9.27061677061677,3.0690393017919044E-5,0.107867688282564,0.4666666666666667,12,17,false,7.0,12,6,0.913847741972742,2528,0.35,1
4.773735273735274,0.013628710011517999,0.2094795673949336,0.1916376306620209,226,11,false,17.5,226,42,0.9606902575652576,2934256,0.07446808510638298,1
4.948024948024948,0.004687899945389207,0.20210084033613446,0.3032258064516129,102,12,false,25.06451612903226,102,31,0.95887474012474,937978,0.09081346423562413,2
5.0498960498960495,0.002328811502812382,0.19802387813915193,0.3188405797101449,126,12,false,25.791666666666668,126,24,0.9578135828135829,502712,0.10316666666666667,2
4.792792792792793,0.06288502362943373,0.20864661654135339,0.13960867265996826,288,11,false,17.919354838709676,288,62,0.9604917417417417,12459178,0.0556501703065518,1
4.857934857934858,0.02446950224763145,0.205848787446505,0.10406885758998435,364,11,false,16.52777777777778,364,72,0.9598131785631786,5888664,0.053315412186379925,1
5.358281358281358,0.048733103048633514,0.18662700465597518,0.16374269005847952,48,13,false,10.789473684210526,48,19,0.9546012358512358,11000492,0.11422172452407615,1
6.164934164934165,0.0019745924846709035,0.16220773381294964,0.6666666666666666,12,14,false,13.0,12,6,0.9461986024486024,93408,0.23333333333333334,7
5.304920304920305,0.041746254247645456,0.18850424559111692,0.08699059561128526,352,13,false,11.306818181818182,352,88,0.9551570801570802,7450088,0.05088042588042588,1
5.966735966735967,0.0013280567577761712,0.167595818815331,0.24603174603174602,100,13,false,15.214285714285714,100,28,0.948263167013167,176056,0.11613958560523446,1
4.757103257103257,0.02622872117980388,0.2102119600844927,0.1257459505541347,406,12,false,15.159420289855072,406,69,0.9608635077385078,6812432,0.06423483173667403,1
4.786902286902287,0.021157828883828594,0.20890336590662323,0.12256897331524197,410,12,false,13.074626865671641,410,67,0.9605531011781011,5241914,0.06504789485408777,1
